Pawła Brylińskiego;Pawła;Brylińskiego
Pawła Jasienicy;Pawła;Jasienicy
Piotra Skargi;Piotra;Skargi
Piotra Wojciechowskiego;Piotra;Wojciechowskiego
Piotra Wysockiego;Piotra;Wysockiego
Prymasa Wyszyńskiego;Prymasa;Wyszyńskiego
Przemysława Gosiewskiego;Przemysława;Gosiewskiego
Raoula Wallenberga;Raoula;Wallenberga
Roberta Oszka;Roberta;Oszka
Roberta Schumana;Roberta;Schumana
Romana Dmowskiego;Romana;Dmowskiego
Romana Kobendzy;Romana;Kobendzy
Romana Wilhelmiego;Romana;Wilhelmiego
Romualda Mielczarskiego;Romualda;Mielczarskiego
Romualda Traugutta;Romualda;Traugutta
Ronalda Reagana;Ronalda;Reagana
Rotmistrza Pileckiego;Rotmistrza;Pileckiego
Rudolfa Weigla;Rudolfa;Weigla
Ryszarda Kaczorowskiego;Ryszarda;Kaczorowskiego
Ryszarda Szurkowskiego;Ryszarda;Szurkowskiego
St. Staszica;St.;Staszica
Stanisława Barei;Stanisława;Barei
Stanisława Dygata;Stanisława;Dygata
Stanisława Jasińskiego;Stanisława;Jasińskiego
Stanisława Kądzieli;Stanisława;Kądzieli
Stanisława Kierbedzia;Stanisława;Kierbedzia
Stanisława Królaka;Stanisława;Królaka
Stanisława Lema;Stanisława;Lema
Stanisława Małachowskiego;Stanisława;Małachowskiego
Stanisława Mikołajczyka;Stanisława;Mikołajczyka
Stanisława Moniuszki;Stanisława;Moniuszki
Stanisława Osieckiego;Stanisława;Osieckiego
Stanisława Rembeka;Stanisława;Rembeka
Stanisława Staszica;Stanisława;Staszica
Stanisława Szozdy;Stanisława;Szozdy
Stanisława Wisłockiego;Stanisława;Wisłockiego
Stanisława Wyspiańskiego;Stanisława;Wyspiańskiego
Stanisława Zgaińskiego;Stanisława;Zgaińskiego
Stefana Bastyra;Stefana;Bastyra
Stefana Czarnieckiego;Stefana;Czarnieckiego
Stefana Kisielewskiego;Stefana;Kisielewskiego
"Stefana Kisielewskiego ""Kisiela""";Stefana;"Kisielewskiego ""Kisiela"""
Stefana Okrzei;Stefana;Okrzei
Stefana Starzyńskiego;Stefana;Starzyńskiego
Stefana Żeromskiego;Stefana;Żeromskiego
Sue Ryder;Sue;Ryder
Szymona Krofeya;Szymona;Krofeya
św. Ambrożego;św.;Ambrożego
Św. Andrzeja;Św.;Andrzeja
św. Anny;św.;Anny
Św. Antoniego;Św.;Antoniego
św. Barbary;św.;Barbary
Św. Brunona;Św.;Brunona
św. Dominika;św.;Dominika
Św. Faustyny;Św.;Faustyny
Św. Floriana;Św.;Floriana
św. Franciszka;św.;Franciszka
Św. Grzegorza;Św.;Grzegorza
